Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
208,Grant Hill*\hillgr01,SF,25,DET,81,3294,21.2,0.52,0.015,0.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,5.2,5.1,10.2,0.149,2.4,2.4,4.8,5.6
209,Tyrone Hill\hillty01,PF,29,MIL,57,2064,13.6,0.538,0.002,0.61,12.4,23.6,18,6.8,1.7,1.1,16.7,14.1,2.2,2.6,4.8,0.113,-0.4,1.6,1.2,1.6
210,Fred Hoiberg\hoibefr01,SG,25,IND,65,874,11.2,0.517,0.383,0.311,2,14.3,8.5,8.1,2.5,0.2,8,14.9,0.9,1.4,2.3,0.127,-0.5,1.1,0.5,0.6
211,Jerald Honeycutt\honeyje01,PF,23,MIL,38,530,11.8,0.497,0.348,0.262,6.2,15.3,10.7,11.1,2,0.8,16.6,25.4,-0.2,0.5,0.3,0.029,-1.5,-1.8,-3.3,-0.2
212,Jeff Hornacek\hornaje01,SG,34,UTA,80,2460,19.3,0.587,0.153,0.389,3.5,9.7,6.8,23.9,2.4,0.5,12,20.8,7.4,2.1,9.5,0.186,4,-0.3,3.7,3.5
213,Robert Horry\horryro01,PF,27,LAL,72,2192,14.4,0.542,0.221,0.402,9.8,17.9,14,10.6,2.6,3,16.7,11.9,3,3.6,6.6,0.144,0.9,3.8,4.8,3.7
214,Allan Houston\houstal01,SG,26,NYK,82,2848,15.1,0.53,0.167,0.262,1.8,9.8,5.8,14.3,1.2,0.7,12.3,26.7,2.5,3.5,6.1,0.102,0.1,-0.6,-0.4,1.1
215,Juwan Howard\howarju01,PF,24,WAS,64,2559,15.2,0.515,0.002,0.361,6.9,13.2,10,13.6,1.7,0.6,13.9,23.2,2.1,2.4,4.6,0.086,-0.1,0.3,0.2,1.5
216,Stephen Howard\howarst01,SF,27,SEA,13,53,9.8,0.432,0,0.857,13.8,13.3,13.5,9.1,3,1.4,17.2,30.5,-0.1,0.1,0,-0.02,-5.9,-1.6,-7.5,-0.1
217,Troy Hudson\hudsotr01,PG,21,UTA,8,23,19.1,0.429,0.214,0,5.8,5.1,5.4,35.1,4.7,0,6.7,30.2,0,0,0,0.075,2.7,-1.8,1,0
218,Lindsey Hunter\hunteli01,PG,27,DET,71,2505,12.4,0.472,0.321,0.237,2.9,8.9,5.9,15.1,2.7,0.3,10.8,19,1.2,2.8,4,0.077,0.3,0.4,0.7,1.7
219,Bobby Hurley\hurlebo01,PG,26,TOT,61,875,9,0.461,0.092,0.319,1.5,7.1,4.3,31.2,1.4,0,24.1,18.2,-0.6,0,-0.5,-0.029,-4.4,-4.1,-8.5,-1.4
220,Bobby Hurley\hurlebo01,PG,26,SAC,34,417,10.2,0.488,0.13,0.322,1.8,7.9,4.8,30.1,1.6,0,24.2,18.5,-0.2,0.2,0,0.001,-4,-3.1,-7.1,-0.5
221,Bobby Hurley\hurlebo01,PG,26,VAN,27,458,7.9,0.435,0.057,0.317,1.3,6.3,3.8,32.2,1.1,0,23.9,17.9,-0.4,-0.2,-0.5,-0.056,-4.7,-5,-9.7,-0.9
222,Zydrunas Ilgauskas\ilgauzy01,C,22,CLE,82,2379,19.7,0.564,0.005,0.345,14.6,22.6,18.6,5.7,1.2,4.3,12.6,22.4,4.5,4.9,9.4,0.189,0.3,1.7,2,2.4
223,Allen Iverson*\iversal01,PG,22,PHI,80,3150,20.4,0.535,0.167,0.38,3.1,7.7,5.4,30.6,3,0.6,12.9,26.9,6.3,2.8,9,0.138,4.5,-0.7,3.8,4.6
224,Bobby Jackson\jacksbo01,PG,24,DEN,68,2042,13.6,0.453,0.102,0.231,4.4,13.3,8.7,29.5,2.8,0.4,17.4,23.5,-1.3,0.7,-0.6,-0.014,-1.2,-1,-2.2,-0.1
225,Jaren Jackson\jacksja01,SG,30,SAS,82,2226,9.7,0.511,0.454,0.18,3,7.6,5.4,11.4,1.5,0.3,12.8,17.1,1.3,2.8,4.1,0.088,-0.2,0,-0.1,1
226,Jim Jackson\jacksji01,SG,27,TOT,79,3046,13.2,0.504,0.173,0.255,4.7,10.1,7.3,22.3,1.4,0.2,17.6,21.7,0.8,1.7,2.5,0.039,0.2,-0.9,-0.6,1.1
227,Jim Jackson\jacksji01,SG,27,PHI,48,1788,13.1,0.545,0.209,0.288,4.4,10.2,7.3,21.5,1.2,0.2,19.4,18.8,1.4,0.9,2.3,0.062,0.6,-1,-0.4,0.7
228,Jim Jackson\jacksji01,SG,27,GSW,31,1258,13.2,0.466,0.138,0.224,5,9.8,7.3,23.5,1.6,0.1,15.8,25.9,-0.6,0.8,0.2,0.007,-0.2,-0.6,-0.9,0.4
229,Mark Jackson\jacksma01,PG,32,IND,82,2413,17.2,0.501,0.229,0.301,3.5,12.1,8,46.7,1.9,0.1,20.4,16.8,4.4,3.1,7.5,0.15,1.8,-0.1,1.7,2.3
230,Henry James\jameshe01,PF,32,CLE,28,166,10.6,0.582,0.424,0.373,1.5,9.5,5.5,5.3,0.3,0.5,14.9,22.4,0.2,0.2,0.3,0.101,-1.9,-3.6,-5.4,-0.1
231,Anthony Johnson\johnsan02,PG,23,SAC,77,2266,8.6,0.437,0.21,0.181,2.4,6,4.2,22.3,1.5,0.2,15.4,15.2,-0.4,0.8,0.4,0.008,-2.6,-1.7,-4.3,-1.3
232,Avery Johnson\johnsav01,PG,32,SAS,75,2674,14.1,0.514,0.019,0.25,1.4,4.9,3.2,36.2,1.7,0.5,18.1,16,3.5,3.2,6.7,0.12,-0.7,-1.3,-2,0
233,Eddie Johnson\johnsed03,SF,38,HOU,75,1490,13.1,0.524,0.364,0.25,4,8.1,6.1,10,1.1,0.1,9.3,20.3,2,0.1,2.2,0.07,0.2,-3.3,-3.1,-0.4
234,Ervin Johnson\johnser02,C,30,MIL,81,2261,15.6,0.564,0,0.505,12.9,24.1,18.5,4.2,1.9,5.2,16.9,14,2.7,3.8,6.4,0.136,-1.1,3.1,1.9,2.2
235,Kevin Johnson\johnske02,PG,31,PHO,50,1290,15.6,0.555,0.075,0.536,3.2,11.4,7.4,28.5,1.1,0.4,19.1,18.6,2.3,1.3,3.5,0.131,-0.2,-0.7,-0.9,0.3
236,Larry Johnson\johnsla02,SF,28,NYK,70,2412,15.8,0.539,0.071,0.32,8.7,11.3,10,11.4,0.9,0.4,11.2,22.1,4,2.9,6.9,0.137,1.1,0.2,1.4,2
237,Charles Jones\jonesch01,PF,40,HOU,24,127,7.8,0.689,0,0.2,11.3,11.1,11.2,5.7,0.4,3.3,26.9,5.3,0.2,0,0.2,0.078,-1.6,0.6,-1.1,0
238,Dontae' Jones\jonesdo01,SF,22,BOS,15,91,3.8,0.386,0.404,0,3.6,8.5,5.8,9.9,1.1,2.6,16.2,32.3,-0.4,0,-0.3,-0.175,-7,-4.7,-11.8,-0.2
